fantasyPointsRank,playerName,teamName,position,byeWeek,games,fantasyPoints,auctionValue,dstSacks,dstSafeties,dstInt,dstFumblesForced,dstFumblesRecovered,dstTd,dstReturnYds,dstReturnTd,dstPts0,dstPts16,dstPts713,dstPts1420,dstPts2127,dstPts2834,dstPts35plus
1,Bears DST,CHI,dst,7,17,212.7,0,38.7811,0.6277,13.8805,17.0142,8.5071,2.033,1121.6249,0.3463,0.3273,0.8247,2.3449,3.9729,4.3671,3.1295,2.0336
2,Jets DST,NYJ,dst,12,17,201.2,0,41.2876,0.6528,14.454,17.4286,8.7143,1.7034,818.7078,0.3734,0.4731,1.0693,2.7626,4.2287,4.1966,2.7169,1.5529
3,Lions DST,DET,dst,5,17,198.9,0,43.2189,0.5985,13.4757,16.529,8.2645,1.7834,966.1468,0.3858,0.2739,0.7324,2.1874,3.8827,4.4421,3.2873,2.1942
4,49ers DST,SF,dst,9,17,198.7,0,44.044,0.5831,14.812,15.813,7.9065,2.0895,779.9162,0.2971,0.4852,1.0848,2.7827,4.2389,4.1925,2.7012,1.5147
5,Bengals DST,CIN,dst,12,17,197.5,0,46.3421,0.6204,11.0727,17.4073,8.7037,2.1885,821.6397,0.3611,0.3995,0.9446,2.5453,4.0873,4.275,2.9311,1.8173
6,Cowboys DST,DAL,dst,7,17,197.3,0,48.3729,0.5949,11.3439,16.8974,8.4487,2.222,808.4165,0.2764,0.3711,0.8953,2.4702,4.0678,4.3431,3.0096,1.8429
7,Ravens DST,BLT,dst,14,17,197.1,0,44.8464,0.6067,11.5128,16.691,8.3455,1.9317,788.4955,0.3663,0.5401,1.1664,2.9033,4.284,4.11,2.579,1.4173
8,Chiefs DST,KC,dst,6,17,194.1,0,45.2766,0.5962,12.3148,16.1739,8.087,1.8406,725.8514,0.3124,0.5541,1.1945,2.9588,4.3269,4.0954,2.5236,1.3467
9,Eagles DST,PHI,dst,5,17,193.3,0,44.4771,0.6109,11.2006,17.1872,8.5936,2.1829,810.7422,0.2464,0.394,0.9314,2.5111,4.0477,4.27,2.9668,1.8788
10,Chargers DST,LAC,dst,5,17,193.2,0,41.6348,0.6246,10.6605,17.157,8.5785,2.2285,897.0489,0.3409,0.3273,0.8258,2.3587,4.01,4.4003,3.1208,1.9571
11,Jaguars DST,JAX,dst,12,17,192.3,0,40.2595,0.6381,11.1423,16.9792,8.4896,1.9552,924.1006,0.3827,0.3305,0.8276,2.3361,3.9359,4.328,3.133,2.1089
12,Dolphins DST,MIA,dst,6,17,192.2,0,40.4895,0.6119,11.3139,16.399,8.1995,1.8022,912.1302,0.3142,0.3454,0.8544,2.3946,4.0035,4.3494,3.083,1.9696
13,Saints DST,NO,dst,12,17,191.5,0,41.1106,0.6272,11.9881,16.6096,8.3048,2.2445,862.669,0.3458,0.314,0.8055,2.3199,3.9691,4.3882,3.1527,2.0506
14,Browns DST,CLV,dst,10,17,190.7,0,46.2221,0.6471,11.5446,17.4436,8.7218,1.7208,726.6741,0.2907,0.4068,0.9577,2.5786,4.1357,4.3008,2.9035,1.7169
15,Colts DST,IND,dst,14,17,189.7,0,40.1625,0.6328,10.8991,17.6664,8.8332,1.7573,882.0323,0.3538,0.3008,0.7736,2.2537,3.9229,4.4203,3.2261,2.1025
16,Texans DST,HST,dst,14,17,188.6,0,38.2625,0.6206,11.7836,17.6847,8.8423,1.7933,862.7268,0.3493,0.328,0.8241,2.348,3.9893,4.3873,3.1299,1.9935
17,Bills DST,BUF,dst,12,17,188.2,0,39.4252,0.61,12.6482,16.336,8.168,1.9387,783.2904,0.2794,0.4324,0.9916,2.614,4.1195,4.2428,2.8671,1.7326
18,Steelers DST,PIT,dst,9,17,187.1,0,44.8329,0.648,10.5013,16.6106,8.3053,1.9822,753.7979,0.3112,0.382,0.9152,2.5006,4.0769,4.3197,2.9809,1.8247
19,Seahawks DST,SEA,dst,10,17,186.3,0,38.2089,0.6193,13.235,16.6882,8.3441,2.1062,807.999,0.3211,0.3071,0.7834,2.2609,3.903,4.3823,3.2126,2.1507
20,Falcons DST,ATL,dst,12,17,185.7,0,40.7794,0.616,11.2749,16.8625,8.4313,2.21,776.9816,0.2976,0.3121,0.7998,2.3091,3.9688,4.4081,3.1706,2.0316
21,Giants DST,NYG,dst,11,17,184.6,0,40.078,0.6422,11.6985,17.0277,8.5138,2.146,775.8012,0.2761,0.3285,0.8298,2.3663,4.0124,4.3926,3.1124,1.9581
22,Broncos DST,DEN,dst,14,17,184,0,40.2494,0.6487,10.0017,16.7252,8.3626,1.8409,856.0009,0.3368,0.3079,0.7895,2.2764,3.9139,4.3723,3.1943,2.1457
23,Packers DST,GB,dst,10,17,183.8,0,40.0529,0.599,12.7791,16.3777,8.1889,2.2245,774.8151,0.3138,0.3076,0.7932,2.2962,3.9531,4.4,3.1799,2.07
24,Rams DST,LA,dst,6,17,182.2,0,36.6711,0.609,12.3198,16.4877,8.2439,2.0305,871.445,0.3335,0.2586,0.6925,2.0881,3.7711,4.4234,3.3813,2.3851
25,Buccaneers DST,TB,dst,11,17,180.4,0,38.7246,0.6237,11.2547,16.9021,8.451,2.3111,764.4186,0.3059,0.3231,0.8109,2.3057,3.9226,4.3521,3.1663,2.1192
26,Vikings DST,MIN,dst,6,17,180.3,0,35.7387,0.6319,11.8202,16.7171,8.3586,1.8695,856.0132,0.3593,0.2643,0.7077,2.1252,3.8104,4.427,3.3464,2.319
27,Commanders DST,WAS,dst,14,17,179.6,0,42.2772,0.6427,10.157,16.6716,8.3358,2.3509,754.3918,0.2764,0.3055,0.7876,2.2762,3.9161,4.3732,3.1934,2.1481
28,Patriots DST,NE,dst,14,17,175.1,0,35.5918,0.6497,11.4999,16.8528,8.4264,1.7151,786.4693,0.3407,0.2883,0.749,2.1972,3.8545,4.3931,3.2693,2.2486
29,Titans DST,TEN,dst,5,17,174.4,0,35.3975,0.6504,12.2461,17.8972,8.9486,1.5137,771.4293,0.3219,0.2813,0.7392,2.1796,3.8366,4.3893,3.2861,2.2879
30,Panthers DST,CAR,dst,11,17,174.3,0,36.6767,0.6415,11.3549,16.9512,8.4756,2.0474,727.2646,0.3588,0.2723,0.7348,2.2057,3.9206,4.4691,3.274,2.1235
31,Raiders DST,LV,dst,10,17,172.6,0,40.2638,0.6481,10.7198,16.9218,8.4609,2.0087,684.3771,0.2601,0.2991,0.7739,2.2463,3.8888,4.3771,3.2246,2.1902
32,Cardinals DST,ARZ,dst,11,17,171.7,0,35.9962,0.6407,12.4283,16.2507,8.1253,1.9827,796.4924,0.2972,0.1991,0.5719,1.8343,3.534,4.4253,3.618,2.8173
