fantasyPointsRank,playerName,teamName,position,byeWeek,games,fantasyPoints,auctionValue,fgMade019,fgAtt019,fgMade2029,fgAtt2029,fgMade3039,fgAtt3039,fgMade4049,fgAtt4049,fgMade50plus,fgAtt50plus,patMade,patAtt,dstSacks,dstSafeties,dstInt,dstFumblesForced,dstFumblesRecovered,dstTd,dstReturnYds,dstReturnTd,dstPts0,dstPts16,dstPts713,dstPts1420,dstPts2127,dstPts2834,dstPts35plus
451,Bears DST,CHI,dst,7,17,212.7,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7811,0.6277,13.8805,17.0142,8.5071,2.033,1121.6249,0.3463,0.3273,0.8247,2.3449,3.9729,4.3671,3.1295,2.0336
452,Jets DST,NYJ,dst,12,17,201.2,0,0,0,0,0,0,0,0,0,0,0,0,0,41.2876,0.6528,14.454,17.4286,8.7143,1.7034,818.7078,0.3734,0.4731,1.0693,2.7626,4.2287,4.1966,2.7169,1.5529
453,Lions DST,DET,dst,5,17,198.9,0,0,0,0,0,0,0,0,0,0,0,0,0,43.2189,0.5985,13.4757,16.529,8.2645,1.7834,966.1468,0.3858,0.2739,0.7324,2.1874,3.8827,4.4421,3.2873,2.1942
454,49ers DST,SF,dst,9,17,198.7,0,0,0,0,0,0,0,0,0,0,0,0,0,44.044,0.5831,14.812,15.813,7.9065,2.0895,779.9162,0.2971,0.4852,1.0848,2.7827,4.2389,4.1925,2.7012,1.5147
455,Bengals DST,CIN,dst,12,17,197.5,0,0,0,0,0,0,0,0,0,0,0,0,0,46.3421,0.6204,11.0727,17.4073,8.7037,2.1885,821.6397,0.3611,0.3995,0.9446,2.5453,4.0873,4.275,2.9311,1.8173
456,Cowboys DST,DAL,dst,7,17,197.3,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3729,0.5949,11.3439,16.8974,8.4487,2.222,808.4165,0.2764,0.3711,0.8953,2.4702,4.0678,4.3431,3.0096,1.8429
457,Ravens DST,BLT,dst,14,17,197.1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.8464,0.6067,11.5128,16.691,8.3455,1.9317,788.4955,0.3663,0.5401,1.1664,2.9033,4.284,4.11,2.579,1.4173
458,Chiefs DST,KC,dst,6,17,194.1,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2766,0.5962,12.3148,16.1739,8.087,1.8406,725.8514,0.3124,0.5541,1.1945,2.9588,4.3269,4.0954,2.5236,1.3467
459,Eagles DST,PHI,dst,5,17,193.3,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4771,0.6109,11.2006,17.1872,8.5936,2.1829,810.7422,0.2464,0.394,0.9314,2.5111,4.0477,4.27,2.9668,1.8788
460,Chargers DST,LAC,dst,5,17,193.2,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6348,0.6246,10.6605,17.157,8.5785,2.2285,897.0489,0.3409,0.3273,0.8258,2.3587,4.01,4.4003,3.1208,1.9571
461,Jaguars DST,JAX,dst,12,17,192.3,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2595,0.6381,11.1423,16.9792,8.4896,1.9552,924.1006,0.3827,0.3305,0.8276,2.3361,3.9359,4.328,3.133,2.1089
462,Dolphins DST,MIA,dst,6,17,192.2,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4895,0.6119,11.3139,16.399,8.1995,1.8022,912.1302,0.3142,0.3454,0.8544,2.3946,4.0035,4.3494,3.083,1.9696
463,Saints DST,NO,dst,12,17,191.5,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1106,0.6272,11.9881,16.6096,8.3048,2.2445,862.669,0.3458,0.314,0.8055,2.3199,3.9691,4.3882,3.1527,2.0506
464,Browns DST,CLV,dst,10,17,190.7,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2221,0.6471,11.5446,17.4436,8.7218,1.7208,726.6741,0.2907,0.4068,0.9577,2.5786,4.1357,4.3008,2.9035,1.7169
465,Colts DST,IND,dst,14,17,189.7,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1625,0.6328,10.8991,17.6664,8.8332,1.7573,882.0323,0.3538,0.3008,0.7736,2.2537,3.9229,4.4203,3.2261,2.1025
466,Texans DST,HST,dst,14,17,188.6,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2625,0.6206,11.7836,17.6847,8.8423,1.7933,862.7268,0.3493,0.328,0.8241,2.348,3.9893,4.3873,3.1299,1.9935
467,Bills DST,BUF,dst,12,17,188.2,0,0,0,0,0,0,0,0,0,0,0,0,0,39.4252,0.61,12.6482,16.336,8.168,1.9387,783.2904,0.2794,0.4324,0.9916,2.614,4.1195,4.2428,2.8671,1.7326
468,Steelers DST,PIT,dst,9,17,187.1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.8329,0.648,10.5013,16.6106,8.3053,1.9822,753.7979,0.3112,0.382,0.9152,2.5006,4.0769,4.3197,2.9809,1.8247
469,Seahawks DST,SEA,dst,10,17,186.3,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2089,0.6193,13.235,16.6882,8.3441,2.1062,807.999,0.3211,0.3071,0.7834,2.2609,3.903,4.3823,3.2126,2.1507
470,Falcons DST,ATL,dst,12,17,185.7,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7794,0.616,11.2749,16.8625,8.4313,2.21,776.9816,0.2976,0.3121,0.7998,2.3091,3.9688,4.4081,3.1706,2.0316
471,Giants DST,NYG,dst,11,17,184.6,0,0,0,0,0,0,0,0,0,0,0,0,0,40.078,0.6422,11.6985,17.0277,8.5138,2.146,775.8012,0.2761,0.3285,0.8298,2.3663,4.0124,4.3926,3.1124,1.9581
472,Broncos DST,DEN,dst,14,17,184,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2494,0.6487,10.0017,16.7252,8.3626,1.8409,856.0009,0.3368,0.3079,0.7895,2.2764,3.9139,4.3723,3.1943,2.1457
473,Packers DST,GB,dst,10,17,183.8,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0529,0.599,12.7791,16.3777,8.1889,2.2245,774.8151,0.3138,0.3076,0.7932,2.2962,3.9531,4.4,3.1799,2.07
474,Rams DST,LA,dst,6,17,182.2,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6711,0.609,12.3198,16.4877,8.2439,2.0305,871.445,0.3335,0.2586,0.6925,2.0881,3.7711,4.4234,3.3813,2.3851
475,Buccaneers DST,TB,dst,11,17,180.4,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7246,0.6237,11.2547,16.9021,8.451,2.3111,764.4186,0.3059,0.3231,0.8109,2.3057,3.9226,4.3521,3.1663,2.1192
476,Vikings DST,MIN,dst,6,17,180.3,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7387,0.6319,11.8202,16.7171,8.3586,1.8695,856.0132,0.3593,0.2643,0.7077,2.1252,3.8104,4.427,3.3464,2.319
477,Commanders DST,WAS,dst,14,17,179.6,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2772,0.6427,10.157,16.6716,8.3358,2.3509,754.3918,0.2764,0.3055,0.7876,2.2762,3.9161,4.3732,3.1934,2.1481
478,Patriots DST,NE,dst,14,17,175.1,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5918,0.6497,11.4999,16.8528,8.4264,1.7151,786.4693,0.3407,0.2883,0.749,2.1972,3.8545,4.3931,3.2693,2.2486
479,Titans DST,TEN,dst,5,17,174.4,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3975,0.6504,12.2461,17.8972,8.9486,1.5137,771.4293,0.3219,0.2813,0.7392,2.1796,3.8366,4.3893,3.2861,2.2879
480,Panthers DST,CAR,dst,11,17,174.3,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6767,0.6415,11.3549,16.9512,8.4756,2.0474,727.2646,0.3588,0.2723,0.7348,2.2057,3.9206,4.4691,3.274,2.1235
481,Raiders DST,LV,dst,10,17,172.6,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2638,0.6481,10.7198,16.9218,8.4609,2.0087,684.3771,0.2601,0.2991,0.7739,2.2463,3.8888,4.3771,3.2246,2.1902
482,Cardinals DST,ARZ,dst,11,17,171.7,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9962,0.6407,12.4283,16.2507,8.1253,1.9827,796.4924,0.2972,0.1991,0.5719,1.8343,3.534,4.4253,3.618,2.8173
451,Evan McPherson,CIN,k,12,17,57,0,0,0,4.5545,4.9048,6.3763,6.3763,7.2872,9.0018,10.9309,15.4852,38.5145,41.1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Jake Moody,SF,k,9,17,55.2,0,0,0,6.8027,6.832,8.5033,9.448,8.5033,17.0065,5.102,6.4959,46.4036,47.7685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,Matt Prater,ARZ,k,11,17,54.1,0,0,0,4.7459,4.7766,6.3278,6.7,5.5368,6.921,11.0737,13.842,33.6276,35.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,Brandon Aubrey,DAL,k,7,17,53.6,0,0,0,6.8654,6.8802,12.2052,13.9487,3.0513,3.5021,7.6283,7.6282,41.7596,45.1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,Jake Elliott,PHI,k,5,17,53,0,0,0,7.8096,7.8095,6.9419,7.6725,7.8096,8.5195,6.9419,8.0988,40.1833,41.2893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,Jason Sanders,MIA,k,6,17,52.1,0,0,0,6.2866,6.8581,7.3344,7.3343,8.3822,9.6394,7.3344,13.6209,40.1702,41.7455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,Cameron Dicker,LAC,k,5,17,51.6,0,0,0,6.0595,6.0595,6.9252,6.9251,7.7908,8.2777,7.7908,10.7123,36.0328,36.0328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,Chase McLaughlin,TB,k,11,17,51.5,0,0,0,6.954,6.954,10.0447,10.5733,3.8633,4.7548,7.7267,9.9991,36.0353,36.0353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,Matt Gay,IND,k,14,17,51,0,0,0,5.8284,5.8284,7.1237,7.5193,5.8284,6.8881,9.0665,13.9018,33.9254,34.9381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,Harrison Butker,KC,k,6,17,50.8,0,0,0,9.6246,9.6245,10.2662,11.9771,5.1331,5.8664,4.4915,5.9886,43.1569,44.5343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,Ka'imi Fairbairn,HST,k,14,17,49.3,0,0,0,9.6794,9.6793,8.988,9.5166,4.1483,5.2796,6.2225,6.7409,37.5916,38.3145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,Justin Tucker,BLT,k,14,17,49,0,0,0,7.374,7.3739,7.374,7.3739,10.3236,11.538,4.4244,8.0443,41.0382,41.9604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,Tyler Bass,BUF,k,12,17,48.8,0,0,0,5.1929,5.6649,11.2513,12.6013,7.7894,10.3857,5.1929,7.7349,40.5015,41.6061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,Joshua Karty,LA,k,6,17,48.7,0,0,0,8.9369,9.1331,4.4684,4.7955,9.5752,12.1905,6.3835,8.9462,39.214,42.0899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,Cam Little,JAX,k,12,17,48.4,0,0,0,3.0768,3.1443,7.692,8.255,9.9996,12.7307,7.692,10.78,35.7555,38.3778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,Jason Myers,SEA,k,10,17,47.7,0,0,0,5.5153,5.5153,8.273,8.9093,9.6518,12.0647,5.5153,7.5208,37.1419,37.6307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,Blake Grupe,NO,k,12,17,46.8,0,0,0,9.3104,11.1723,4.6552,4.7857,7.7586,9.6982,6.9828,10.4009,36.5926,36.5926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,Michael Badgley,DET,k,5,17,46.5,0,0,0,5.8907,6.5609,16.4941,16.4939,3.5344,4.2413,3.5344,4.8542,43.0666,45.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,Will Reichard,MIN,k,6,17,45.3,0,0.9291,0,6.504,6.6468,8.3623,8.9743,5.5748,7.0975,6.504,9.1151,34.1048,36.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,Younghoe Koo,ATL,k,12,17,44.3,0,0,0,7.6578,7.6577,7.6578,7.6577,9.1893,11.2313,4.5947,7.8109,36.998,38.8479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,Chris Boswell,PIT,k,9,17,43.9,0,0,0,7.1324,7.1323,5.5474,6.0517,7.1324,10.4242,6.3399,7.6984,31.899,32.5777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,Cairo Santos,CHI,k,7,17,43.1,0,0,0,6.7134,6.7133,8.2053,8.2052,7.4593,9.0577,5.9675,7.0524,35.3793,39.5768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Anders Carlson,GB,k,10,17,43.1,0,0,0,6.4066,6.4342,12.0123,12.8702,7.2074,15.0609,4.0041,6.0966,41.1189,47.1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,Eddy Pineiro,CAR,k,11,17,41.9,0,0,0,5.2152,5.2376,6.0844,6.3488,7.8227,8.9961,6.9535,9.0146,31.3997,34.7401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,Ramiz Ahmed,WAS,k,14,17,41.8,0,0,0,3.3811,3.4553,7.8892,8.4666,10.1432,12.9136,5.6351,7.8974,33.0648,35.4897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,Graham Gano,NYG,k,11,17,41.4,0,0,0,3.2408,3.2759,7.2917,9.1146,9.7223,12.5,5.6713,6.7024,31.5253,32.9264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,Dustin Hopkins,CLV,k,10,17,41.3,0,0,0,5.634,5.634,5.634,5.634,9.1553,12.4844,5.634,5.9764,31.8064,33.5734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,Nick Folk,TEN,k,5,17,41.1,0,0,0,8.1402,8.1401,8.1402,8.1401,5.4268,6.7834,5.4268,6.6327,32.9838,35.7325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,Wil Lutz,DEN,k,14,17,40.7,0,0,0,8.6247,8.6246,10.1928,11.6488,4.7044,8.2326,3.9203,6.1604,33.9694,35.0652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Chad Ryland,NE,k,14,17,39.7,0,0,0,4.2878,4.3437,7.5036,9.6256,10.7194,21.4386,4.2878,6.8263,32.6203,33.9795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Daniel Carlson,LV,k,10,17,39.2,0,0,0,8.6708,8.6707,6.0696,6.4265,10.405,11.8913,2.6012,3.4683,34.519,35.0343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,Greg Zuerlein,NYJ,k,12,17,38.1,0,0,0,5.2647,5.2647,7.239,7.6199,9.2133,10.4695,3.9485,6.1022,31.6896,33.1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
